USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  43792 14168 ?        Ss   Feb13   0:08 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root          61  0.0  0.0      0     0 ?        S    Feb13   0:13 [migration/13]
root          62  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/13]
root          64  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/13:0H-events_highpri]
root          65  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/14]
root          66  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/14]
root          67  0.0  0.0      0     0 ?        S    Feb13   0:10 [migration/14]
root          68  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/14]
root          70  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/14:0H-events_highpri]
root          71  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/15]
root          72  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/15]
root          73  0.0  0.0      0     0 ?        S    Feb13   0:07 [migration/15]
root          74  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/15]
root          76  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/15:0H-events_highpri]
root          77  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/16]
root          78  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/16]
root          79  0.0  0.0      0     0 ?        S    Feb13   0:05 [migration/16]
root          80  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/16]
root          82  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/16:0H-events_highpri]
root          83  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/17]
root          84  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/17]
root          85  0.0  0.0      0     0 ?        S    Feb13   0:04 [migration/17]
root          86  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/17]
root          88  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/17:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/18]
root          90  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/18]
root          91  0.0  0.0      0     0 ?        S    Feb13   0:03 [migration/18]
root          92  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/18]
root          94  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/18:0H-events_highpri]
root          95  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/19]
root          96  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/19]
