UID        PID    PPID   LWP    C    NLWP   %CPU    %MEM    VSZ      RSS      TTY      STAT     START  TIME         PSR    STIME        COMMAND
root       54     2      54     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/12] [idle_inject/12]
root       55     2      55     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:20         00:00:20 [migration/12] [migration/12]
root       56     2      56     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/12] [ksoftirqd/12]
root       58     2      58     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/12:0H-events_highpri] [kworker/12:0H-events_highpri]
root       59     2      59     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/13]   [cpuhp/13]
root       60     2      60     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/13] [idle_inject/13]
root       61     2      61     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:13         00:00:13 [migration/13] [migration/13]
root       62     2      62     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/13] [ksoftirqd/13]
root       64     2      64     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/13:0H-events_highpri] [kworker/13:0H-events_highpri]
root       65     2      65     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/14]   [cpuhp/14]
root       66     2      66     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/14] [idle_inject/14]
root       67     2      67     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:10         00:00:10 [migration/14] [migration/14]
root       68     2      68     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/14] [ksoftirqd/14]
root       70     2      70     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/14:0H-events_highpri] [kworker/14:0H-events_highpri]
root       71     2      71     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/15]   [cpuhp/15]
root       72     2      72     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/15] [idle_inject/15]
root       73     2      73     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:07         00:00:07 [migration/15] [migration/15]
